Title,Author,Average Rating,Rating,Year Published,Edition
An Introduction to Statistical Methods and Data Analysis,R. Lyman Ott,3.59,85,1984,27
Recovering Black Storytelling in Qualitative Research,S.R. Toliver,4.82,11,0,2
"PYTHON ALGORITHMS: A Complete Guide to Learn Python for Data Analysis, Machine Learning, and Coding from Scratch",Michael Scratch,4.00,17,0,3
An Introduction to Statistical Methods and Data Analysis,R. Lyman Ott,3.59,85,1984,27
Python for Excel: A Modern Environment for Automation and Data Analysis,Felix Zumstein,4.20,25,0,4
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 4 Books in 1",Tech Ed Academy,3.00,6,0,1
Statistics and Data Analysis for Nursing Research,Denise F. Polit,3.61,49,2009,10
Statistics and Data Analysis: From Elementary to Intermediate,Ajit C. Tamhane,3.96,27,1999,4
Microsoft Excel 2010: Data Analysis and Business Modeling,Wayne L. Winston,4.07,67,2011,14
The Statistical Sleuth: A Course in Methods of Data Analysis,Fred L. Ramsey,3.77,65,1990,23
Data Analysis with Stata,Prasad Kothari,4.78,86,0,4
Practical Data Analysis,Hector Cuesta,3.43,28,2013,8
Applied Spatial Data Analysis with R,"Virgilio Bivand, Roger S.; Pebesma, Edzer J.; G?mez-Rubio",4.00,49,2008,15
Business Analytics: Data Analysis & Decision Making,S. Christian Albright,3.71,38,2014,17
Learn Algorithmic Trading: Build and deploy algorithmic trading systems and strategies using Python and advanced data analysis,Sebastien Donadio,3.12,16,0,2
Market Models: A Guide to Financial Data Analysis,Carol Alexander,3.75,20,2001,7
Exploratory Data Analysis with R,Roger D. Peng,3.91,65,2015,2
"Statistics for Experimenters: An Introduction to Design, Data Analysis, and Model Building",George E.P. Box,4.39,82,1978,20
Clojure Data Analysis Cookbook,Eric Rochester,3.62,29,2013,7
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, Big Data for Business and Machine Learning for Beginners",Herbert Jones,3.40,25,0,2
Experimental Design and Data Analysis for Biologists,Gerry P. Quinn,4.33,36,2002,16
Experimental Design and Data Analysis for Biologists,Gerry P. Quinn,4.33,36,2002,16
Learning R: A Step-By-Step Function Guide to Data Analysis,Richard Cotton,3.81,69,2013,7
"Data Science for Beginners: This Book Includes - Machine Learning for Beginners + Python Machine Learning for Beginners - Big Data Analytics, Data Science, Data Analysis and Programming Code",Leonard Deep,3.14,7,0,2
Data Analysis and Decision Making with Microsoft Excel,S. Christian Albright,3.52,81,1999,38
The Workflow of Data Analysis Using Stata,J. Scott Long,4.59,46,2008,13
"Advanced Statistics in Research: Reading, Understanding, and Writing Up Data Analysis Results",Larry Hatcher,4.36,11,2013,1
Phonetic Data Analysis: An Introduction to Fieldwork and Instrumental Techniques,Peter Ladefoged,4.58,24,2003,7
Mathematica Data Analysis,Sergiy Suchok,4.50,10,0,4
An Introduction to R: A Programming Environment for Data Analysis and Graphics,W.N. Venables,3.69,48,2002,7
Data Analysis from Scratch with Python: The Complete Beginner's Guide for Machine Learning Techniques and A Step By Step NLP using Python Guide To Expert,Stephen Richard,2.20,5,0,2
Advanced Data Analysis from an Elementary Point of View,Cosma Rohilla Shalizi,4.46,13,0,1
"Pandas 1.x Cookbook: Practical recipes for scientific computing, time series analysis, and exploratory data analysis using Python, 2nd Edition",Matt Harrison,4.29,17,0,3
Data Analysis for Continuous School Improvement,Victoria L. Bernhardt,3.43,83,2003,17
Data Mining and Analysis: Fundamental Concepts and Algorithms,Mohammed J. Zaki,4.28,18,2014,7
Making Sense of Data: A Practical Guide to Exploratory Data Analysis and Data Mining,Glenn J. Myatt,4.33,18,2006,9
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,Michael Mitzenmacher,4.24,85,2005,9
Python Data Analysis,Ivan Idris,3.28,18,2014,3
Data Analysis for Social Science: A Friendly and Practical Introduction,Elena Llaudet,3.83,6,0,2
Data Analysis and Regression: A Second Course in Statistics,Frederick Mosteller,4.58,12,1977,5
Bayesian Artificial Intelligence,Kevin B. Korb,4.00,22,2003,13
Data Analysis for Continuous School Improvement,Victoria Bernhardt,3.38,48,2004,8
